Provider Name,Zip Code,Service Area,Service Area (SA),Provider Classification,Programs/Services,Age Group Served,Language/Cultures,Operation,Phone Number,Location 1
PACIFIC CLINICS PASADENA FAMILY SERVICES,91105,3,SA 3 San Gabriel Valley,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, DAY TREATMENT INTENSIVE, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, THERAPEUTIC BEHAVIORAL SERVICES, WELLNESS CENTER",CHILD/TAY,"AMERICAN SIGN, ARABIC, ARMENIAN, BENGALI, CANTONESE, ENGLISH, FRENCH, GERMAN, HEBREW, HINDI, HMONG, ITALIAN, JAPANESE,  KOREAN, MANDARIN, PORTUGUESE, SPANISH, TAGALOG, TAIWANESE, THAI",NGA,(626) 795-8471,"66 HURLBUT ST.
PASADENA, California 91105
(34.12987357900005, -118.15138930399996)"
PACIFIC CLINICS,91105,3,SA 3 San Gabriel Valley,OUTPATIENT,"CASE MANAGEMENT, COMMUNITY OUTREACH, CRISIS INTERVENTION, FCCS, MENTAL HEALTH PROMOTION, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",ADULT/CHILD/TAY,"ENGLISH, HUNGARIAN, MANDARIN, RUSSIAN, SAMOAN, SPANISH, SWATOWESE, TAGALOG, TAIWANESE, VIETNAMESE",NGA,(626) 795-8471,"1020 SOUTH ARROYO PKWY.
PASADENA, California 91105
(34.12838137400007, -118.14716619099994)"
SAN GABRIEL VALLEY CONVALESCENT HOSPITAL,91732,3,SA 3 San Gabriel Valley,INSTITUTIONS FOR MENTAL DISEASE,MENTAL HEALTH SERVICES,ADULT,"ENGLISH, ILOCANO, SPANISH, TAGALOG",NGA,(626) 401-1557,"3938 COGSWELL RD.
EL MONTE, California 91732
(34.074705782000024, -118.01296107999997)"
PACIFIC CLINICS,91101,3,SA 3 San Gabriel Valley,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, SUBSTANCE ABUSE, WELLNESS CENTER",CHILD/TAY,"AFGHAN, ARMENIAN, CANTONESE, ENGLISH, FARSI, HEBREW, KOREAN, MANDARIN, OTHER CHINESE, PASHTO, RUSSIAN, SPANISH, TAGALOG",NGA,(626) 795-8471,"70 NORTH HUDSON AVE.
PASADENA, California 91101
(34.14714852800006, -118.13386722799999)"
OPTIMIST YOUTH & FAMILY SERVICES,90042,4,SA 4 Metro,OUTPATIENT,"CASE MANAGEMENT, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",CHILD/TAY,"ARMENIAN, ENGLISH, FARSI, JAPANESE, KOREAN, SPANISH",NGA,(323) 543-4222,"7003 NORTH FIGUEROA ST.
LOS ANGELES, California 90042
(34.129363916000045, -118.18800911899996)"
KOREAN AMERICAN FAMILY SERVICES,90020,4,SA 4 Metro,OUTPATIENT,"MENTAL HEALTH SERVICES, OUTREACH AND ENGAGEMENT, SUBSTANCE ABUSE SERVICES",ADULT/OLDER ADULT,"ENGLISH, KOREAN",NGA,(213) 389-6755,"3727 WEST SIXTH ST. #320
LOS ANGELES, California 90020
(34.06358856700007, -118.30368984799998)"
CHILD BUREAU OF SOUTHERN CA-LANCASTER DT,93534,1,SA 1 Antelope Valley,OUTPATIENT,"0-5 MENTAL HEALTH SERVICES, CASE MANAGEMENT, CRISIS INTERVENTION, DAY TREATMENT, MAT ASSESSMENTS, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, SCHOOL BASED MENTAL HEALTH SERVICES, SPECIALIZED FOSTER CARE, THERAPEUTIC BEHAVIORAL SERVICES, WRAPAROUND",CHILD/TAY,"ARMENIAN, ENGLISH, FARSI, FRENCH, ITALIAN, RUSSIAN, SPANISH",NGA,(661) 949-0131,"921 WEST AVE. J STE. C
LANCASTER, California 93534
(34.689478027000064, -118.14646715599997)"
SAN FERNANDO VALLEY CMHC-ADULT FCCS,91411,2,SA 2 San Fernando Valley,OUTPATIENT,"CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",ADULT,"ENGLISH, RUSSIAN, SPANISH, THAI",NGA,(818) 373-4993,"14515 HAMLIN ST. STE. 200
VAN NUYS, California 91411
(34.18868834700004, -118.44925991499997)"
COASTAL ASIAN PACIFIC ISLANDER FAMILY HEALTH CENTER,90249,8,SA 8 Harbor,OUTPATIENT,"CASE MANAGEMENT, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",ADULT/CHILD/OLDER ADULT/TAY,"CAMBODIAN, CANTONESE, ENGLISH, KOREAN, MANDARIN, SPANISH, VIETNAMESE",DMH,(310) 217-7312,"14112 SOUTH KINGSLEY DR.
GARDENA, California 90249
(33.90275076700004, -118.30420607099995)"
PACIFIC CLINICS-LATINA PROGRAM,90670,7,SA 7 East,OUTPATIENT,"CRISIS INTERVENTION, FIELD CAPABLE CLINICAL SERVICES, FULL SERVICE PARTNERSHIP, GROUP COUNSELING, INDIVIDUAL COUNSELING, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PREVENTION AND EARLY INTERVENTION, PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE",CHILD/TAY,"ARABIC, ENGLISH, FRENCH, HINDI, JAPANESE, MANDARIN, PUNJABI, SPANISH, TAGALOG, TOISAN, TURKISH, URDU, VIETNAMESE",NGA,(877) 722-2737,"11741 TELEGRAPH RD.
SANTA FE SPRINGS, California 90670
(33.946121353000024, -118.08284874499998)"
PROVIDENCE COMMUNITY SERVICES,90716,7,SA 7 East,OUTPATIENT,"CASE MANAGEMENT, FIELD CAPABLE CLINICAL SERVICES, FULL SERVICE PARTNERSHIP, INDIVIDUAL COUNSELING, MENTAL HEALTH SERVICES, PREVENTION AND EARLY INTERVENTION, PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE",CHILD/TAY,"ARMENIAN, ENGLISH, FRENCH, MANDARIN, SPANISH, SWEDISH",NGA,(562) 865-3644,"21520 SOUTH PIONEER BLVD. STE. 110
HAWAIIAN GARDENS, California 90716
(33.83381697300007, -118.08177368999998)"
ROYBAL SCHOOL BASED PROGRAM,90640,7,SA 7 East,OUTPATIENT,"MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",CHILD/TAY,"ENGLISH, SPANISH",DMH,(323) 887-5324,"215 EAST AVENIDA DE LA MERCED
MONTEBELLO, California 90640
(34.02365278900004, -118.09472190599996)"
BIENVENIDOS-EAST LOS ANGELES,90640,7,SA 7 East,OUTPATIENT,"ASSESSMENT TREATMENT, COMMUNITY LINKAGE, FAMILY COUNSELING, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PCT, SPECIALIZED FOSTER CARE",ADULT/CHILD/TAY,"ARMENIAN, CALO, CEBUANO, ENGLISH, FARSI, FRENCH, JAPANESE, KOREAN, MANDARIN, SPANISH, TAGALOG",NGA,(323) 869-9255,"110 SOUTH GARFIELD AVE.
MONTEBELLO, California 90640
(34.01403123100005, -118.13016772999998)"
TELECARE HOP 7,90650,7,SA 7 East,OUTPATIENT,"COMMUNITY OUTREACH, CRISIS INTERVENTION, FULL SERVICE PARTNERSHIP, HOMELESS SERVICES, MEDICATION SUPPORT, MENTAL HEALTH PROMOTION, MENTAL HEALTH SERVICES",ADULT,"ENGLISH, FARSI, ITALIAN, SPANISH",NGA,(562) 484-3385,"12353 IMPERIAL HIGHWAY
NORWALK, California 90650
(33.91723310400005, -118.06957976099994)"
SAN ANTONIO MENTAL HEALTH CENTER,90255,7,SA 7 East,OUTPATIENT,"CASE MANAGEMENT, COMMUNITY OUTREACH, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, OUTPATIENT, PREVENTION AND EARLY INTERVENTION, SPECIALIZED FOSTER CARE",CHILD/TAY,"ENGLISH, SPANISH",DMH,(323) 584-3700,"2629 CLARENDON AVE. 2ND FL.
HUNTINGTON PARK, California 90255
(33.98355798600005, -118.22410865699999)"
SPECIALIZED FOSTER CARE-SOUTH COUNTY,90712,7,SA 7 East,OUTPATIENT,"CRISIS INTERVENTION, MENTAL HEALTH SERVICES",CHILD/TAY,"CATALAN, ENGLISH, SPANISH",DMH,(562) 497-3456,"4060 WATSON PLAZA DR.
LAKEWOOD, California 90712
(33.831930374000024, -118.15500631699996)"
SPECIALIZED FOSTER CARE-PALMDALE,93550,1,SA 1 Antelope Valley,OUTPATIENT,"0-5 MENTAL HEALTH SERVICES, CASE MANAGEMENT, MENTAL HEALTH SERVICES, PROVIDER LINKAGE, PSYCHOLOGICAL TESTING",CHILD/TAY,"ENGLISH, SPANISH",DMH,(661) 223-5413,"39959 SIERRA HIGHWAY STE. 150
PALMDALE, California 93550
(34.608434653000074, -118.12239213199996)"
FOR THE CHILD,90807,8,SA 8 Harbor,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, COMMUNITY HEALTH PROMOTION , MENTAL HEALTH PROMOTION, MENTAL HEALTH SERVICES, SPECIALIZE FOSTER CARE",CHILD/TAY,"ENGLISH, SPANISH",NGA,(562) 427-7671,"4001 LONG BEACH BLVD.
LONG BEACH, California 90807
(33.830891016000066, -118.18938233999995)"
MASADA HOMES,90248,8,SA 8 Harbor,OUTPATIENT,"CASE MANAGEMENT, FULL SERVICE PARTNERSHIP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, SPECIALIZE FOSTER CARE, THERAPEUTIC BEHAVIORAL SERVICES, WRAPAROUND",CHILD/TAY,"CANTONESE, ENGLISH, GERMAN, JAPANESE, KOREAN, MANDARIN, PORTUGUESE, SPANISH, VIETNAMESE",NGA,(310) 715-2020,"130 WEST VICTORIA ST.
GARDENA, California 90248
(33.864884482000036, -118.27668727599996)"
CHILDREN'S INSTITUTE INC.,90502,8,SA 8 Harbor,OUTPATIENT,"CASE MANAGEMENT, COMMUNITY OUTREACH, CRISIS INTERVENTION, DAY TREATMENT, FULL SERVICE PARTNERSHIP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",CHILD/TAY,"ARMENIAN, CANTONESE, ENGLISH, FRENCH, GERMAN, HINDI, ITALIAN, JAPANESE, KOREAN, MANDARIN, OTHER CHINESE, SERBO-CROATIAN, SPANISH, SWAHILI, TAGALOG",NGA,(310) 783-4677,"21810 &amp; 21840 NORMANDIE AVE.
TORRANCE, California 90502
(33.83163121300004, -118.29281939499998)"
PACIFIC ASIAN COUNSELING SERVICES,90807,8,SA 8 Harbor,OUTPATIENT,"CASE MANAGEMENT, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",ADULT/CHILD/TAY,"CAMBODIAN, CANTONESE, CASE MANAGEMENT, CREOLE, ENGLISH, FRENCH, JAPANESE, KOREAN, MANDARIN, SAMOAN, SPANISH, TAGALOG, TAIWANESE, URDO, VIETNAMESE",NGA,(562) 424-1886,"3530 ATLANTIC AVE. STE. 210
LONG BEACH, California 90807
(33.820430602000044, -118.18499675499999)"
TELECARE LOS ANGELES ACT OLDER ADULTS,90650,7,SA 7 East,OUTPATIENT,"COMMUNITY OUTREACH, CRISIS INTERVENTION, FULL SERVICE PARTNERSHIP, MEDICATION SUPPORT, MENTAL HEALTH PROMOTION, MENTAL HEALTH SERVICES",ADULT/OLDER ADULT,"ENGLISH, FARSI, HINDI, KONKANI, PORTUGUESE, SPANISH",NGA,(562) 929-6688,"12440 FIRESTONE BLVD. STE. 3025
NORWALK, California 90650
(33.90542521300006, -118.06847340899998)"
SPECIALIZED FOSTER CARE PROGRAM-SANTA FE SPRINGS,90670,7,SA 7 East,OUTPATIENT,"CRISIS MANAGEMENT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",CHILD/TAY,"ENGLISH, SPANISH",DMH,(323) 903-5102,"10355 SLUSHER DR.
SANTA FE SPRINGS, California 90670
(33.94215995700006, -118.07800047499995)"
OLIVE CREST TREATMENT CENTERS-WRAPAROUND,90706,7,SA 7 East,OUTPATIENT,"CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERIVCES, PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE",CHILD/TAY,"ENGLISH, FARSI, ITALIAN, MANDARIN, SPANISH",NGA,(562) 866-8956,"17800 WOODRUFF AVE.
BELLFLOWER, California 90706
(33.87131075800005, -118.11723682299998)"
ALMA FAMILY SERVICES,90660,7,SA 7 East,OUTPATIENT,"CASE MANAGEMENT, COMMUNITY OUTREACH, CRISIS INTERVENTION, FAMILY COUNSELING, FIELD CAPABLE CLINICAL SERVICES, FULL SERVICE PARTNERSHIP, GROUP COUNSELING, INDIVIDUAL COUNSELING, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, SPECIALIZED FOSTER CARE",ADULT/CHILD/TAY,"ARABIC, ENGLISH, SPANISH",NGA,(562) 801-4626,"9140 WHITTIER BLVD.
PICO RIVERA, California 90660
(34.000194631000056, -118.08155065499994)"
SPECIALIZED FOSTER CARE PROGRAM-COMMERCE,90040,7,SA 7 East,OUTPATIENT,"CRISIS MANAGEMENT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",CHILD/TAY,"ENGLISH, SPANISH",NGA,(323) 725-4629,"5835 SOUTH EASTERN AVE.
COMMERCE, California 90040
(33.98350613300005, -118.16254224)"
ALMA FAMILY SERVICES,90660,7,SA 7 East,OUTPATIENT,"FULL SERVICE PARTNERSHIP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, SPECIALIZED FOSTER CARE",ADULT/CHILD/TAY,"ARABIC, ENGLISH, ITALIAN, KOREAN, OTHER CHINESE, PORTUGUESE, SPANISH",NGA,(562) 692-1517,"4400 ROSEMEAD BLVD. STE. 12
PICO RIVERA, California 90660
(34.01065130000006, -118.08076690499996)"
ENKI EAST LOS ANGELES MHS-BELL GARDENS,90201,7,SA 7 East,OUTPATIENT,"CASE MANAGEMENT, COMMUNITY OUTREACH, CRISIS INTERVENTION, FIELD CAPABLE CLINICAL SERVICES, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PREVENTION AND EARLY INTERVENTION, PSYCHOLOGICAL TESTING",ADULT/TAY,"ARMENIAN, CANTONESE, ENGLISH, FARSI, GUJARATI, HEBREW, ITALIAN, MANDARIN, RUSSIAN, SINGHALESE, SPANISH, TAIWAINESE",NGA,(866) 227-1302,"6001 CLARA ST.
BELL GARDENS, California 90201
(33.962587609000025, -118.15932622099996)"
LOS PADRINOS JUVENILE HALL MENTAL HEALTH UNIT,90241,7,SA 7 East,JUVENILE JUSTICE,MENTAL HEALTH SERVICES,CHILD/TAY,"ARABIC, CAMBODIAN, CANTONESE, ENGLISH, SPANISH, VIETNAMESE",DMH,(562) 940-6077,"7285 EAST QUILL DR.
DOWNEY, California 90241
(33.94049098000005, -118.13166748599997)"
LOS ANGELES CHILD GUIDANCE CLINIC,90007,6,SA 6 South,OUTPATIENT,"CASE MANAGEMENT, COMMUNITY OUTREACH, COMMUNITY SUPPORT, CRISIS INTERVENTION, DAY REHABILITATION, DAY TREATMENT INTENSIVE, FIELD CAPABLE CLINICAL SERVICES, MENTAL HEALTH SERVICES",ADULT/CHILD/TAY,"CANTONESE, ENGLISH, FARSI, FRENCH, JAPANESE, MANDARIN, SPANISH",NGA,(323) 766-2345,"3787 SOUTH VERMONT AVE.
LOS ANGELES, California 90007
(34.01751112200003, -118.29157245299996)"
DREW CHILD DEVELOPMENT CORPORATION,90262,6,SA 6 South,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, EBP-ART, EBP-CORS, EBP-IY, EBP-IPT, EBP-SS, EBP-TR_CBT, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",ADULT/CHILD/TAY,"ENGLISH, SPANISH",NGA,(323) 249-2950,"3737 MARTIN LUTHER KING JR. BLVD. STE. 550
LYNWOOD, California 90262
(33.92840632200006, -118.20022761599995)"
MASADA HOMES,93535,1,SA 1 Antelope Valley,OUTPATIENT,"0-5 MENTAL HEALTH SERVICES, CASE MANAGEMENT, EBP-PPP, EBP-SS, EBP-TF_CBT, MAP, MEDICATION SUPPORT, PCIT, PSYCHOLOGICAL ASSESSMENT, SCHOOL-BASED MENTAL HEALTH",CHILD/TAY,"ENGLISH, SPANISH",NGA,(661) 726-5500,"314 EAST AVE. K-4, STE. 104
LANCASTER, California 93535
(34.671292778000065, -118.12510921299997)"
SAN FERNANDO VALLEY CMHC-YOUTH & FAMILY CTR.,91401,2,SA 2 San Fernando Valley,RESIDENTIAL,"CASE MANAGEMENT, COMMUNITY OUTREACH, CRISIS INTERVENTION, DAY REHABILITATION, DAY TREATMENT, MEDICATION SUPPORT, MENTAL HEALTH PROMOTION, MENTAL HEALTH SERVICES, SPECIALIZED FOSTER CARE",CHILD/TAY,"ARMENIAN, ENGLISH, FARSI, JAPANESE, MANDARIN, RUSSIAN, SPANISH",NGA,(818) 908-4999,"6305 WOODMAN AVE.
VAN NUYS, California 91401
(34.18498145600006, -118.43130275499999)"
SAN FERNANDO VALLEY CMHC-JUVENILE JUSTICE PROGRAM,91405,2,SA 2 San Fernando Valley,OUTPATIENT,"CRISIS INTERVENTION, MENTAL HEALTH SERVICES, TARGETED CASE MANAGEMENT",ADULT,"ENGLISH, SPANISH",NGA,(818) 901-4879,"14550 SHERMAN WAY
VAN NUYS, California 91405
(34.20115257900005, -118.45022898399998)"
BARRY J NIDORF JUVENILE HALL MENTAL HEALTH UNIT,91342,2,SA 2 San Fernando Valley,JUVENILE JUSTICE,"COMMUNITY OUTREACH, CRISIS INTERVENTION, JUVENILE JUSTICE, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",CHILD/TAY,"AMERICAN SIGN, ARMENIAN, ENGLISH, HINDI, RUSSIAN, SPANISH, TELUGU, VIETNAMESE",DMH,(818) 364-2078,"16350 FILBERT ST.
SYLMAR, California 91342
(34.31522271800003, -118.48554757299996)"
FOOTHILL FAMILY SERVICES-EL MONTE,91731,3,SA 3 San Gabriel Valley,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, FCCS, FSP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE",ADULT/CHILD/TAY,"AMERICAN SIGN, ARABIC, ARMENIAN, CAMBODIAN, CANTONESE, CZECH, DUTCH, ENGLISH, FRENCH, GERMAN, HINDI, ITALIAN, JAPANESE, KOREAN, MANDARIN, OTHER CHINESE, PORTUGUESE, RUSSIAN, SAMOAN",NGA,(626) 442-8391,"11429 VALLEY BLVD.
EL MONTE, California 91731
(34.069534341000065, -118.02884182799994)"
ENKI YOUTH FAMILY SERVICES-EL MONTE,91731,3,SA 3 San Gabriel Valley,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE",CHILD/TAY,"CANTONESE, ENGLISH, FARSI, FRENCH, GERMAN, HINDI, ITALIAN, JAPANESE, KOREAN, MANDARIN, OTHER CHINESE, SPANISH, TAIWANESE, TOISAN",NGA,(626) 227-7001,"3208 ROSEMEAD BLVD. STE. 100
EL MONTE, California 91731
(34.065894283000034, -118.06773249199995)"
HOMES FOR LIFE FOUNDATION,91801,3,SA 3 San Gabriel Valley,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MENTAL HEALTH SERVICES",CHILD/TAY,"ENGLISH, SPANISH",NGA,(626) 943-9839,"26 SOUTH ALMANSOR ST.
ALHAMBRA, California 91801
(34.09700819700004, -118.12032493899994)"
PACIFIC CLINICS-SYSTEM OF CARE,91731,3,SA 3 San Gabriel Valley,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, FCCS, FSP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, THERAPEUTIC BEHAVIORAL SERVICES",CHILD/TAY,"AFGHAN, ARMENIAN, ENGLISH, FRENCH, ITALIAN, KOREAN, PASHTO, RUSSIAN, SPANISH, TAGALOG",NGA,(626) 335-5980,"10428 LOWER AZUSA RD.
EL MONTE, California 91731
(34.091893569000035, -118.04050260599996)"
D' VEAL FAMILY & YOUTH SERVICES,91101,3,SA 3 San Gabriel Valley,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",CHILD/TAY,"ARMENIAN, CANTONESE, ENGLISH, FRENCH, MANDARIN, OTHER CHINESE, ROMANIAN, RUSSIAN, SPANISH, SWAHILI, TAGALOG, THAI",NGA,(626) 796-3453,"1845 NORTH FAIR OAKS AVE.
PASADENA, California 91101
(34.17742154700005, -118.15079510599998)"
FIVE ACRES-DAY REHABILITATIVE,91001,3,SA 3 San Gabriel Valley,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, DAY TREATMENT, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, THERAPEUTIC BEHAVIORAL SERVICES",CHILD/TAY,"AMERICAN SIGN, ARMENIAN, CANTONESE, ENGLISH, FRENCH, GERMAN, MANDARIN, SPANISH, TAGALOG",NGA,(626) 798-6793,"760 WEST MOUNTAIN VIEW ST.
ALTADENA, California 91001
(34.19179374700008, -118.16569718699998)"
SPECIALIZED FOSTER CARE-GLENDORA,91740,3,SA 3 San Gabriel Valley,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, WELLNESS CENTER",CHILD/TAY,"ENGLISH, SPANISH",DMH,(626) 691-1855,"725 SOUTH GRAND AVE.
GLENDORA, California 91740
(34.12579104400004, -117.87276295199996)"
SPECIALIZED FOSTER CARE-POMONA,91766,3,SA 3 San Gabriel Valley,OUTPATIENT,MENTAL HEALTH SERVICES,CHILD/TAY,"ENGLISH, SPANISH",DMH,(626) 455-4668,"100 WEST SECOND ST.
POMONA, California 91766
(34.057773001000044, -117.75091836799999)"
HATHAWAY SYCAMORES EN PACE,91001,3,SA 3 San Gabriel Valley,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, THERAPEUTIC BEHAVIORAL SERVICES",CHILD/TAY,"ENGLISH, SPANISH",NGA,(626) 798-0853,"2933 NORTH EL NIDO DR.
ALTADENA, California 91001
(34.19550409400006, -118.16501849299999)"
ASIAN PACIFIC FAMILY CENTER,91770,3,SA 3 San Gabriel Valley,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, DUAL DIAGNOSIS, FSP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE",ADULT/CHILD/TAY,"AMERICAN SIGN, CAMBODIAN, CANTONESE, ENGLISH, FRENCH, GERMAN, HEBREW, ITALIAN, JAPANESE, KOREAN, MANDARIN, SINGHALESE, SPANISH, TAGALOG, TAIWANESE, THAI, TOISAN, URDU, VIETNAMESE",NGA,(626) 287-2988,"9353 EAST VALLEY BLVD.
ROSEMEAD, California 91770
(34.08114819000008, -118.06532998399996)"
HUNTINGTON HOSPITAL,91105,3,SA 3 San Gabriel Valley,INPATIENT,24 HR ACUTE,ADULT,"CHINESE, ENGLISH",FFS,(626) 397-2305,"100 WEST CALIFORNIA BLVD.
PASADENA, California 91105
(34.13577326200004, -118.14846942199995)"
SAN GABRIEL CHILDREN'S  CENTER,91724,3,SA 3 San Gabriel Valley,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, SPECIALIZED FOSTER CARE, THERAPEUTIC BEHAVIORAL SERVICES",CHILD/TAY,"ENGLISH, KOREAN, SAMOAN, SPANISH, TAGALOG",NGA,(626) 859-2089,"4740 NORTH GRAND AVE.
COVINA, California 91724
(34.098587370000075, -117.87246985299998)"
CHILD & FAMILY GUIDANCE CENTER-NORTHRIDGE,91325,2,SA 2 San Fernando Valley,OUTPATIENT,"CASE MANAGEMENT, COMMUNITY OUTREACH, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH PROMOTION, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE",CHILD/TAY,"ARMENIAN, CANTONESE, ENGLISH, FRENCH, GERMAN, HEBREW, HINDI, ITALIAN, JAPANESE, KOREAN, MANDARIN, PORTUGUESE, RUSSIAN,  SAMOAN, TAGALOG, THAI, VIETNAMESE",NGA,(818) 739-5250,"9650 ZELZAH AVE.
NORTHRIDGE, California 91325
(34.24662968600006, -118.52325599599999)"
THE HELP GROUP CHILD AND FAMILY CENTER,91406,2,SA 2 San Fernando Valley,OUTPATIENT,"CALWORKS, MENTAL HEALTH SERVICES, FCCS, FSP, GROUP THERAPY, MEDICATION SUPPORT, MULTIDICIPLINARY ASSESSMENT TEAM",ADULT/CHILD/TAY,"ARABIC, ENGLISH, FRENCH, HEBREW, JAPANESE, SPANISH, RUSSIAN",NGA,(818) 267-2646,"15339 SATICOY ST. BLDG. 300
VAN NUYS, California 91406
(34.20848800500005, -118.46753971299995)"
"HILLVIEW MHC, INC.",91331,2,SA 2 San Fernando Valley,OUTPATIENT,"CASE MANAGEMENT, CALWORKS, FCCS, FSP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PEI, PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE, WELLNESS CENTER",ADULT/OLDER ADULT/TAY,"ARMENIAN, ENGLISH, FARSI, FRENCH, GERMAN, GREEK, HEBREW, ITALIAN, KOREAN, MANDARIN, RUSSIAN, SPANISH, TAGALOG, YIDDISH",NGA,(818) 896-1161,"12450 VAN NUYS BLVD. STE. 200
PACOIMA, California 91331
(34.27898691100006, -118.404381995)"
SPECIALIZED FOSTER CARE-CHATSWORTH,91311,2,SA 2 San Fernando Valley,OUTPATIENT,"DCFS REFERRED, FIELD BASED THERAPY, MENTAL HEALTH SERVICES, TREATMENT AND LINKAGE",CHILD/TAY,"ENGLISH, SPANISH",NGA,(818) 717-4610,"20151 NORDHOFF ST.
CHATSWORTH, California 91311
(34.231827474000056, -118.57318897599998)"
OLIVE CREST TREATMENT CENTERS,91770,3,SA 3 San Gabriel Valley,OUTPATIENT,"DAY TREATMENT, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",CHILD/TAY,"ENGLISH, SPANISH, VIETNAMESE",NGA,(562) 866-8951,"4619 NORTH ROSEMEAD BLVD.
ROSEMEAD, California 91770
(34.08855966600004, -118.073482378)"
BIENVENIDOS-MENTAL HEALTH (MH),91790,3,SA 3 San Gabriel Valley,OUTPATIENT,"CASE MANAGEMENT, DYADIC THERAPY, FAMILY COUNSELING, GROUP COUNSELING, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, SPECIALIZED FOSTER CARE",ADULT/CHILD/TAY,"ARMENIAN, CALO, ENGLISH, JAPANESE, KOREAN, MANDARIN, SPANISH, VIETNAMESE",NGA,(626) 543-1121,"421 SOUTH GLENDORA AVE. STE. 201
WEST COVINA, California 91790
(34.06735307200006, -117.92545795199999)"
